ID,Grupo,Rota,Parametro,Simbolo,Unidade,Valor_2026,Classificacao,Status_2026,Auditoria_Fonte_2026,Driver_Prospectivo,Tratamento_Prospectivo,Arquivo_Fonte_2026,Caminho_YAML_Resolvido,Tipo_Fonte_2026,Fonte_Primaria_2026,Ano_Base_Fonte,Moeda_Base,Regra_Conversao,Justificativa_2026,Faixa_Incerteza_Baixa,Faixa_Incerteza_Alta,S1_2030_Valor,S1_2030_Fonte,S1_2030_Justificativa,S2_2030_Valor,S2_2030_Fonte,S2_2030_Justificativa,S3_2030_Valor,S3_2030_Fonte,S3_2030_Justificativa,S1_2040_Valor,S1_2040_Fonte,S1_2040_Justificativa,S2_2040_Valor,S2_2040_Fonte,S2_2040_Justificativa,S3_2040_Valor,S3_2040_Fonte,S3_2040_Justificativa,S1_2050_Valor,S1_2050_Fonte,S1_2050_Justificativa,S2_2050_Valor,S2_2050_Fonte,S2_2050_Justificativa,S3_2050_Valor,S3_2050_Fonte,S3_2050_Justificativa,Caminhos_YAML_Candidatos,Notas_Extracao,Observacoes,Classe_Modelagem,Escopo_Parametro,Projetar_2030_2050,Variar_S1_S2_S3,Sensibilidade,Derivado_De,Fonte_Prospectiva_Requerida,Prioridade_Pesquisa,Justificativa_Classificacao,Nota_Metodologica_V2
M-B01B,BSV,B1,CAPEX repurpose BSV,,USD/kWh,60.0,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Sim,D - Driver prospectivo / circularidade,configs/paper/pv_bsv_biomethane_1500.yaml,economics.capex.bsv_repurpose_usd_per_kwh,Configuracao YAML vigente,,2026,USD,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economics.capex.bsv_repurpose_usd_per_kwh,,,T,COMMON,Sim,Sim,Nao,,Sim,Alta,"Driver tecnologico; pode evoluir com maturidade, learning e desempenho da tecnologia.",
M-B01C,BSV,B1,CAPEX integracao BSV,,USD/kWh,40.0,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Sim,D - Driver prospectivo,configs/paper/pv_bsv_biomethane_1500.yaml,economics.capex.bsv_integration_usd_per_kwh,Configuracao YAML vigente,,2026,USD,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economics.capex.bsv_integration_usd_per_kwh,,,T,COMMON,Sim,Sim,Nao,,Sim,Alta,"Driver tecnologico; pode evoluir com maturidade, learning e desempenho da tecnologia.",
M-B01D,BSV,B1,CAPEX BSV total,,USD/kWh,220.0,Parametro derivado,A - Derivado do YAML 2026,Documentar fonte,Sim,D - Resultado da soma dos componentes prospectivos,configs/paper/pv_bsv_biomethane_1500.yaml,,Configuracao YAML vigente,,2026,USD,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Modulo + repurpose + integracao.,,D,COMMON,Derivado,Nao,Nao,CAPEX modulo BSV + CAPEX repurpose BSV + CAPEX integracao BSV,Nao,Baixa,Parametro derivado; nao deve ser projetado independentemente dos seus componentes.,Nao preencher diretamente nos cenarios; recalcular a partir dos tres componentes.
M-B02,BSV,B1,OPEX fixo BSV,,fracao CAPEX/ano,0.02,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Sim,D - Prospectivo se necessario,configs/paper/pv_bsv_biomethane_1500.yaml,economics.opex_fixed.bsv_fraction_of_capex_per_year,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economics.opex_fixed.bsv_fraction_of_capex_per_year,,,E,COMMON,Sim,Nao,Nao,,Sim,Media,Driver economico ou de mercado; sujeito a trajetorias temporais e cenarios.,
M-B03,BSV,B1,SOC inicial BSV,SOC0,p.u.,0.5,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Avaliar,Manter salvo sensibilidade,configs/paper/pv_bsv_biomethane_1500.yaml,technology.battery.soc_init_fraction,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,technology.battery.soc_init_fraction | technology.bsv.soc_init_fraction,,,O,COMMON,Nao,Nao,Sim,,Sim,Media,Premissa operacional mantida para comparabilidade; pode ser explorada em sensibilidade quando pertinente.,
M-B04,BSV,B1,SOC minimo BSV,SOCmin,p.u.,0.1,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Avaliar,Manter salvo sensibilidade,configs/paper/pv_bsv_biomethane_1500.yaml,technology.battery.min_soc_fraction,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,technology.battery.min_soc_fraction | technology.bsv.min_soc_fraction,,,O,COMMON,Nao,Nao,Sim,,Sim,Media,Premissa operacional mantida para comparabilidade; pode ser explorada em sensibilidade quando pertinente.,
M-B05,BSV,B1,SOH inicial BSV,SOH0,p.u.,0.8,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Avaliar,D - Pode evoluir tecnologicamente,configs/paper/pv_bsv_biomethane_1500.yaml,technology.battery.soh_initial,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,technology.battery.soh_initial | technology.bsv.soh_initial,,,T,COMMON,Sim,Sim,Sim,,Sim,Alta,"Driver tecnologico; pode evoluir com maturidade, learning e desempenho da tecnologia.",
M-B06,BSV,B1,Janela SOC util,DeltaSOC,p.u.,0.8,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Avaliar,D - Sensibilidade tecnologica,configs/paper/pv_bsv_biomethane_1500.yaml,technology.battery.usable_soc_window,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,technology.battery.usable_soc_window | technology.bsv.usable_soc_window,,,T,COMMON,Nao,Nao,Sim,,Sim,Media,"Driver tecnologico; pode evoluir com maturidade, learning e desempenho da tecnologia.",
M-B07,BSV,B1,RTE BSV,eta_RT,p.u.,0.85,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Sim,D - Driver tecnologico,configs/paper/pv_bsv_biomethane_1500.yaml,technology.battery.battery_roundtrip,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,technology.battery.battery_roundtrip | technology.bsv.battery_roundtrip,,,T,COMMON,Sim,Sim,Sim,,Sim,Alta,"Driver tecnologico; pode evoluir com maturidade, learning e desempenho da tecnologia.",
M-B08,BSV,B1,C-rate maximo,Cmax,h^-1,0.9,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Sim,D - Driver tecnologico,configs/paper/pv_bsv_biomethane_1500.yaml,technology.battery.c_rate_max,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,technology.battery.c_rate_max | technology.bsv.c_rate_max,,,T,COMMON,Nao,Nao,Sim,,Sim,Media,"Driver tecnologico; pode evoluir com maturidade, learning e desempenho da tecnologia.",
M01,Biometano,B1,PCI biometano,PCI_BM,kWh/Nm3,10.19,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Avaliar,Parametro fisico - manter,configs/paper/pv_bsv_biomethane_1500.yaml,technology.biomethane.lhv_kwh_per_nm3,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,technology.biomethane.lhv_kwh_per_nm3,,,F,B1,Nao,Nao,Nao,,Nao,Baixa,Constante fisica; nao projetar temporalmente salvo mudanca de especificacao do combustivel.,
M02,Biometano,B1,Fracao CH4,x_CH4,p.u.,0.965,Parametro de entrada,A - Consolidado 2026,Prioritario,Avaliar,Auditar qualidade / faixa futura,configs/paper/pv_bsv_biomethane_1500.yaml,technology.biomethane.methane_fraction,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,technology.biomethane.methane_fraction,,,R,B1,Nao,Nao,Sim,,Sim,Media,"Parametro regulatorio, tarifario, logistico ou de infraestrutura.",
M03,Biometano,B1,Oferta maxima biometano,V_sup_max,Nm3/dia,200.0,Restricao logistica,A - Consolidado 2026,Documentar fonte,Sim,D - Driver prospectivo importante,configs/paper/pv_bsv_biomethane_1500.yaml,technology.biomethane.max_supply_nm3_day,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,technology.biomethane.max_supply_nm3_day,,,R,B1,Sim,Sim,Nao,,Sim,Alta,"Parametro regulatorio, tarifario, logistico ou de infraestrutura.",
M04,Biometano,B1,SOC inicial armazenamento BM,SOC_BM0,p.u.,0.5,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Avaliar,Premissa operacional,configs/paper/pv_bsv_biomethane_1500.yaml,technology.biomethane_storage.soc_init_fraction,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,technology.biomethane_storage.soc_init_fraction,,,O,B1,Nao,Nao,Nao,,Nao,Baixa,Premissa operacional mantida para comparabilidade; pode ser explorada em sensibilidade quando pertinente.,
M05,Biometano,B1,SOC minimo armazenamento BM,,p.u.,0.0,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Avaliar,Premissa operacional,configs/paper/pv_bsv_biomethane_1500.yaml,technology.biomethane_storage.soc_min_fraction,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,technology.biomethane_storage.soc_min_fraction,,,O,B1,Nao,Nao,Nao,,Nao,Baixa,Premissa operacional mantida para comparabilidade; pode ser explorada em sensibilidade quando pertinente.,
M06,Biometano,B1,Vida util armazenamento BM,,anos,20,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Avaliar,D - Revisar se houver fonte futura,configs/paper/pv_bsv_biomethane_1500.yaml,technology.biomethane_storage.lifetime_years,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,technology.biomethane_storage.lifetime_years,,,T,B1,Sim,Nao,Nao,,Sim,Media,"Driver tecnologico; pode evoluir com maturidade, learning e desempenho da tecnologia.",
M07,Biometano,B1,CAPEX armazenamento BM,,USD/Nm3,162.0,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Sim,D - Driver prospectivo,configs/paper/pv_bsv_biomethane_1500.yaml,economics.capex.biomethane_storage_usd_per_nm3,Configuracao YAML vigente,,2026,USD,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economics.capex.biomethane_storage_usd_per_nm3,,,T,B1,Sim,Sim,Nao,,Sim,Alta,"Driver tecnologico; pode evoluir com maturidade, learning e desempenho da tecnologia.",
M08,Biometano,B1,Preco biometano,c_BM,USD/Nm3,0.7099,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Sim,D - Driver prospectivo central,configs/paper/pv_bsv_biomethane_1500.yaml,economics.opex_variable_biomethane.biomethane_usd_per_nm3,Configuracao YAML vigente,,2026,USD,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economics.opex_variable_biomethane.biomethane_usd_per_nm3,,,E,B1,Sim,Sim,Nao,,Sim,Alta,Driver economico ou de mercado; sujeito a trajetorias temporais e cenarios.,
M09,Biometano,B1,Preco BM - baixo,,USD/Nm3,0.5266,Sensibilidade baseline,A - Consolidado 2026,Documentar fonte,Avaliar,Pode auxiliar S1-S3,configs/paper/pv_bsv_biomethane_1500.yaml,economics.price_sensitivity_biomethane.low_usd_per_nm3,Configuracao YAML vigente,,2026,USD,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economics.price_sensitivity_biomethane.low_usd_per_nm3,,,E,B1,Nao,Nao,Sim,,Sim,Media,Driver economico ou de mercado; sujeito a trajetorias temporais e cenarios.,Sensibilidade do baseline 2026; nao equivale automaticamente ao cenario S1.
M10,Biometano,B1,Preco BM - base,,USD/Nm3,0.7099,Sensibilidade baseline,A - Consolidado 2026,Documentar fonte,Avaliar,Referencia,configs/paper/pv_bsv_biomethane_1500.yaml,economics.price_sensitivity_biomethane.base_usd_per_nm3,Configuracao YAML vigente,,2026,USD,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economics.price_sensitivity_biomethane.base_usd_per_nm3,,,E,B1,Nao,Nao,Sim,,Sim,Media,Driver economico ou de mercado; sujeito a trajetorias temporais e cenarios.,Referencia da sensibilidade 2026; nao equivale automaticamente ao cenario S2.
M11,Biometano,B1,Preco BM - alto,,USD/Nm3,0.8913,Sensibilidade baseline,A - Consolidado 2026,Documentar fonte,Avaliar,Pode auxiliar S1-S3,configs/paper/pv_bsv_biomethane_1500.yaml,economics.price_sensitivity_biomethane.high_usd_per_nm3,Configuracao YAML vigente,,2026,USD,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economics.price_sensitivity_biomethane.high_usd_per_nm3,,,E,B1,Nao,Nao,Sim,,Sim,Media,Driver economico ou de mercado; sujeito a trajetorias temporais e cenarios.,Sensibilidade do baseline 2026; nao equivale automaticamente ao cenario S3.
C01-BM,CHP,B1,Eficiencia eletrica CHP,eta_el_CHP,p.u.,0.385,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Sim,D - Driver tecnologico,configs/paper/pv_bsv_biomethane_1500.yaml,technology.chp.eta_el,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,technology.chp.eta_el | technology.chp.electrical_efficiency,,,T,B1,Sim,Sim,Nao,,Sim,Alta,"Driver tecnologico; pode evoluir com maturidade, learning e desempenho da tecnologia.",
C02-BM,CHP,B1,CAPEX CHP,,USD/kW,4160.0,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Sim,D - Driver prospectivo central,configs/paper/pv_bsv_biomethane_1500.yaml,economics.capex.chp_usd_per_kw,Configuracao YAML vigente,,2026,USD,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economics.capex.chp_usd_per_kw,,,T,B1,Sim,Sim,Nao,,Sim,Alta,"Driver tecnologico; pode evoluir com maturidade, learning e desempenho da tecnologia.",
C03-BM,CHP,B1,O&M variavel CHP,,USD/kWh,0.0344,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Sim,D - Prospectivo,configs/paper/pv_bsv_biomethane_1500.yaml,economics.opex_variable_biomethane.chp_usd_per_kwh,Configuracao YAML vigente,,2026,USD,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economics.opex_variable_biomethane.chp_usd_per_kwh,,,E,B1,Sim,Sim,Nao,,Sim,Media,Driver economico ou de mercado; sujeito a trajetorias temporais e cenarios.,
C04-BM,CHP,B1,OPEX fixo CHP,,fracao CAPEX/ano,0.0,Parametro de entrada,A - Consolidado 2026,Prioritario,Avaliar,C - Auditar fonte / intencionalidade,configs/paper/pv_bsv_biomethane_1500.yaml,economics.opex_fixed.chp_fraction_of_capex_per_year,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economics.opex_fixed.chp_fraction_of_capex_per_year,"Se valor 0.0 estiver no YAML, registrar como valor usado no baseline, mas auditar antes da prospectiva.",,E,B1,Sim,Nao,Nao,,Sim,Media,Driver economico ou de mercado; sujeito a trajetorias temporais e cenarios.,Valor 0.0 usado no baseline deve ser auditado antes da modelagem prospectiva.
C05-BM,CHP,B1,Limite CHP,,kW,200,Restricao / espaco de decisao,A - Consolidado 2026,Documentar fonte,Sim,D - Pode variar por cenario,configs/paper/pv_bsv_biomethane_1500.yaml,optimization.constraints.chp_kw.max,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,optimization.constraints.chp_kw.max,,,L,B1,Nao,Nao,Sim,,Sim,Media,"Limite do espaco de decisao; altera o dominio de busca, mas nao e driver prospectivo por si so.",Limite do espaco de busca. Nao projetar automaticamente; ampliar apenas se houver justificativa fisica/metodologica.
C06-BM,CHP,B1,Limite armazenamento BM,,Nm3,400,Restricao / espaco de decisao,A - Consolidado 2026,Documentar fonte,Avaliar,D - Infraestrutura / logistica,configs/paper/pv_bsv_biomethane_1500.yaml,optimization.constraints.biomethane_storage_nm3.max,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,optimization.constraints.biomethane_storage_nm3.max,,,L,B1,Nao,Nao,Sim,,Sim,Media,"Limite do espaco de decisao; altera o dominio de busca, mas nao e driver prospectivo por si so.",Limite do espaco de busca. Nao projetar automaticamente; ampliar apenas se houver justificativa fisica/metodologica.
M-EC01,Economia,B1,Taxa de desconto / WACC real,r,p.u.,0.08,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Sim,D - Driver prospectivo 2030-2050,configs/paper/pv_bsv_biomethane_1500.yaml,economics.wacc_real,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economics.wacc_real | economics.discount_rate,,,E,COMMON,Sim,Sim,Nao,,Sim,Alta,Driver economico ou de mercado; sujeito a trajetorias temporais e cenarios.,
M-EC02,Economia,B1,Horizonte economico,n,anos,20,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Avaliar,Avaliar manutencao ou harmonizacao,configs/paper/pv_bsv_biomethane_1500.yaml,economics.analysis_horizon_years,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economics.analysis_horizon_years | economics.project_lifetime_years,,,O,COMMON,Nao,Nao,Nao,,Nao,Baixa,Premissa operacional mantida para comparabilidade; pode ser explorada em sensibilidade quando pertinente.,
M-O01,Otimizacao,B1,Population,,individuos,48,Configuracao computacional,A - Consolidado 2026,Nao prioritario,Nao,Nao e driver prospectivo,configs/paper/pv_bsv_biomethane_1500.yaml,ga.population,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,optimization.ga.population | optimization.population | ga.population | population,,,C,B1,Nao,Nao,Nao,,Nao,Baixa,Configuracao computacional ou de reprodutibilidade; nao representa evolucao prospectiva.,
M-O02,Otimizacao,B1,Generations,,geracoes,30,Configuracao computacional,A - Consolidado 2026,Nao prioritario,Nao,Nao e driver prospectivo,configs/paper/pv_bsv_biomethane_1500.yaml,ga.generations,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,optimization.ga.generations | optimization.generations | ga.generations | generations,,,C,B1,Nao,Nao,Nao,,Nao,Baixa,Configuracao computacional ou de reprodutibilidade; nao representa evolucao prospectiva.,
M-O03,Otimizacao,B1,Pareto period,,h,24,Configuracao computacional,A - Consolidado 2026,Nao prioritario,Nao,Nao e driver prospectivo,configs/paper/pv_bsv_biomethane_1500.yaml,optimization.pareto_period_hours,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,optimization.pareto_period_hours,,,C,B1,Nao,Nao,Nao,,Nao,Baixa,Configuracao computacional ou de reprodutibilidade; nao representa evolucao prospectiva.,
M-O04,Otimizacao,B1,Single-case period,,h,24,Configuracao computacional,A - Consolidado 2026,Nao prioritario,Nao,Nao e driver prospectivo,configs/paper/pv_bsv_biomethane_1500.yaml,optimization.single_case_period_hours,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,optimization.single_case_period_hours,,,C,B1,Nao,Nao,Nao,,Nao,Baixa,Configuracao computacional ou de reprodutibilidade; nao representa evolucao prospectiva.,
M-O05,Otimizacao,B1,Seed,,,42,Reprodutibilidade,A - Consolidado 2026,Nao prioritario,Nao,Nao e driver prospectivo,configs/paper/pv_bsv_biomethane_1500.yaml,reproducibility.seed,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reproducibility.seed | optimization.seed | seed,,,C,B1,Nao,Nao,Nao,,Nao,Baixa,Configuracao computacional ou de reprodutibilidade; nao representa evolucao prospectiva.,
M-PV01,PV,B1,CAPEX PV,,USD/kW,1000.0,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Sim,D - Driver prospectivo central,configs/paper/pv_bsv_biomethane_1500.yaml,economics.capex.pv_usd_per_kw,Configuracao YAML vigente,,2026,USD,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economics.capex.pv_usd_per_kw,,,T,COMMON,Sim,Sim,Nao,,Sim,Alta,"Driver tecnologico; pode evoluir com maturidade, learning e desempenho da tecnologia.",
M-PV02,PV,B1,OPEX fixo PV,,fracao CAPEX/ano,0.01,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Sim,D - Prospectivo se houver fonte diferenciada,configs/paper/pv_bsv_biomethane_1500.yaml,economics.opex_fixed.pv_fraction_of_capex_per_year,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economics.opex_fixed.pv_fraction_of_capex_per_year,,,E,COMMON,Sim,Nao,Nao,,Sim,Media,Driver economico ou de mercado; sujeito a trajetorias temporais e cenarios.,
M-G01,Rede,B1,Modelo tarifario,,,two_tier,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Sim,D - Driver de politica tarifaria,configs/paper/pv_bsv_biomethane_1500.yaml,tariff.pricing_model,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tariff.pricing_model,,,R,COMMON,Nao,Nao,Sim,,Sim,Media,"Parametro regulatorio, tarifario, logistico ou de infraestrutura.",Manter no cenario prospectivo principal; eventual mudanca estrutural deve ser tratada como analise especifica de politica.
M-G02,Rede,B1,Tarifa fora de ponta,c_off,USD/kWh,0.15,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Sim,D - Driver prospectivo central,configs/paper/pv_bsv_biomethane_1500.yaml,tariff.offpeak_price_usd_kwh,Configuracao YAML vigente,,2026,USD,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tariff.offpeak_price_usd_kwh | tariff.offpeak_usd_per_kwh,,,E,COMMON,Sim,Sim,Nao,,Sim,Alta,Driver economico ou de mercado; sujeito a trajetorias temporais e cenarios.,
M-G03,Rede,B1,Tarifa ponta,c_peak,USD/kWh,0.5,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Sim,D - Driver prospectivo central,configs/paper/pv_bsv_biomethane_1500.yaml,tariff.peak_price_usd_kwh,Configuracao YAML vigente,,2026,USD,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tariff.peak_price_usd_kwh | tariff.peak_usd_per_kwh,,,E,COMMON,Sim,Sim,Nao,,Sim,Alta,Driver economico ou de mercado; sujeito a trajetorias temporais e cenarios.,
M-G04,Rede,B1,Inicio da ponta,,hora,18,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Sim,D - Politica tarifaria,configs/paper/pv_bsv_biomethane_1500.yaml,tariff.peak_window.start_hour,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tariff.peak_window.start_hour | tariff.peak_start_hour,,,R,COMMON,Nao,Nao,Sim,,Sim,Media,"Parametro regulatorio, tarifario, logistico ou de infraestrutura.",Manter no cenario prospectivo principal; eventual mudanca estrutural deve ser tratada como analise especifica de politica.
M-G05,Rede,B1,Fim da ponta,,hora,21,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Sim,D - Politica tarifaria,configs/paper/pv_bsv_biomethane_1500.yaml,tariff.peak_window.end_hour,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tariff.peak_window.end_hour | tariff.peak_end_hour,,,R,COMMON,Nao,Nao,Sim,,Sim,Media,"Parametro regulatorio, tarifario, logistico ou de infraestrutura.",Manter no cenario prospectivo principal; eventual mudanca estrutural deve ser tratada como analise especifica de politica.
M-G06,Rede,B1,Inclui demanda contratada,,boolean,True,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Sim,D - Politica tarifaria,configs/paper/pv_bsv_biomethane_1500.yaml,tariff.include_demand_charge,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tariff.include_demand_charge,,,R,COMMON,Nao,Nao,Sim,,Sim,Media,"Parametro regulatorio, tarifario, logistico ou de infraestrutura.",Manter no cenario prospectivo principal; eventual mudanca estrutural deve ser tratada como analise especifica de politica.
M-G07,Rede,B1,Tarifa de demanda,,USD/kW.mes,30.0,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Sim,D - Driver prospectivo,configs/paper/pv_bsv_biomethane_1500.yaml,tariff.demand_charge_usd_kw_month,Configuracao YAML vigente,,2026,USD,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tariff.demand_charge_usd_kw_month,,,E,COMMON,Sim,Sim,Nao,,Sim,Alta,Driver economico ou de mercado; sujeito a trajetorias temporais e cenarios.,
